報告年度・四半期,Infliximab,Etanercept,Adalimumab,Golimumab,Certolizumab,is_tnf
2004・第一,134.0,0.0,0.0,0.0,0.0,134.0
2004・第三,210.0,0.0,1.0,0.0,0.0,211.0
2004・第二,134.0,0.0,0.0,0.0,0.0,134.0
2004・第四,183.0,0.0,0.0,0.0,0.0,183.0
2005・第一,153.0,20.0,0.0,0.0,0.0,173.0
2005・第三,115.0,156.0,0.0,0.0,0.0,270.0
2005・第二,177.0,92.0,0.0,0.0,0.0,264.0
2005・第四,68.0,148.0,0.0,0.0,0.0,216.0
2006・第一,69.0,103.0,0.0,0.0,0.0,172.0
2006・第三,73.0,143.0,0.0,0.0,0.0,216.0
2006・第二,72.0,143.0,0.0,0.0,0.0,215.0
2006・第四,92.0,122.0,0.0,0.0,0.0,214.0
2007・第一,121.0,114.0,0.0,0.0,0.0,235.0
2007・第三,98.0,101.0,2.0,0.0,0.0,201.0
2007・第二,111.0,94.0,0.0,0.0,0.0,203.0
2007・第四,77.0,74.0,0.0,0.0,0.0,151.0
2008・第一,85.0,60.0,3.0,0.0,0.0,148.0
2008・第三,101.0,99.0,43.0,1.0,0.0,242.0
2008・第二,89.0,98.0,11.0,0.0,0.0,198.0
2008・第四,90.0,81.0,36.0,0.0,0.0,205.0
2009・第一,90.0,77.0,59.0,0.0,0.0,226.0
2009・第三,100.0,87.0,111.0,0.0,0.0,293.0
2009・第二,68.0,92.0,108.0,0.0,0.0,260.0
2009・第四,106.0,95.0,99.0,0.0,1.0,293.0
2010・第一,134.0,71.0,113.0,0.0,0.0,312.0
2010・第三,149.0,130.0,103.0,0.0,0.0,368.0
2010・第二,130.0,96.0,97.0,0.0,0.0,317.0
2010・第四,113.0,98.0,100.0,0.0,0.0,307.0
2011・第一,113.0,66.0,103.0,0.0,0.0,272.0
2011・第三,120.0,100.0,111.0,5.0,0.0,321.0
2011・第二,139.0,87.0,98.0,2.0,0.0,314.0
2011・第四,109.0,122.0,70.0,16.0,0.0,313.0
2012・第一,104.0,143.0,89.0,29.0,0.0,359.0
2012・第三,182.0,152.0,90.0,94.0,0.0,499.0
2012・第二,123.0,134.0,78.0,70.0,0.0,398.0
2012・第四,58.0,101.0,62.0,64.0,13.0,294.0
2013・第一,88.0,109.0,54.0,87.0,39.0,372.0
2013・第三,93.0,86.0,67.0,143.0,35.0,416.0
2013・第二,146.0,74.0,71.0,112.0,41.0,412.0
2013・第四,80.0,48.0,57.0,77.0,31.0,291.0
2014・第一,121.0,94.0,124.0,43.0,28.0,402.0
2014・第三,62.0,106.0,65.0,58.0,51.0,337.0
2014・第二,73.0,87.0,98.0,25.0,44.0,320.0
2014・第四,65.0,95.0,73.0,21.0,38.0,287.0
2015・第一,68.0,135.0,82.0,22.0,55.0,346.0
2015・第三,95.0,136.0,85.0,50.0,56.0,416.0
2015・第二,72.0,132.0,83.0,48.0,58.0,389.0
2015・第四,94.0,111.0,118.0,35.0,61.0,402.0
2016・第一,63.0,172.0,81.0,33.0,56.0,392.0
2016・第三,104.0,205.0,127.0,59.0,54.0,535.0
2016・第二,83.0,171.0,81.0,60.0,86.0,473.0
2016・第四,95.0,189.0,81.0,52.0,49.0,446.0
2017・第一,103.0,198.0,72.0,45.0,44.0,451.0
2017・第三,101.0,132.0,88.0,69.0,69.0,441.0
2017・第二,128.0,166.0,99.0,69.0,47.0,483.0
2017・第四,83.0,144.0,61.0,42.0,47.0,367.0
2018・第一,138.0,130.0,79.0,39.0,62.0,413.0
2018・第三,129.0,183.0,89.0,64.0,48.0,495.0
2018・第二,105.0,136.0,80.0,53.0,39.0,396.0
2018・第四,77.0,108.0,55.0,44.0,45.0,315.0
2019・第一,111.0,78.0,79.0,65.0,33.0,347.0
2019・第三,124.0,127.0,76.0,116.0,54.0,454.0
2019・第二,118.0,108.0,62.0,50.0,35.0,370.0
2019・第四,85.0,47.0,72.0,62.0,35.0,283.0
2020・第一,14.0,38.0,5.0,10.0,5.0,72.0
